player_name,team,position,assists,goals,minutes_played,red_cards,yellow_cards,season
Federico Valverde,Real Madrid,Midfielder,1.0,,1832.0,,2.0,s2122
Felipe Augusto de Almeida Monteiro,Atlético de Madrid,Defender,1.0,2.0,1499.0,1.0,5.0,s2122
Ferland Mendy,Real Madrid,Defender,1.0,2.0,1738.0,,4.0,s2122
Fernando Francisco Reges,Sevilla FC,Midfielder,1.0,1.0,1850.0,,6.0,s2122
Fernando Calero,RCD Espanyol de Barcelona,Defender,,,1089.0,,3.0,s2122
Fernando Medrano,RC Celta,Defender,,,,,,s2122
Fernando Niño,RCD Mallorca,Forward,,2.0,879.0,,2.0,s2122
Fernando Pacheco,Deportivo Alavés,Goalkeeper,,,3054.0,,1.0,s2122
Ferran Jutglà,FC Barcelona,Forward,,1.0,303.0,,1.0,s2122
Ferrán Torres,FC Barcelona,Midfielder,4.0,4.0,1417.0,,1.0,s2122
Ferrán Quetglás,RCD Mallorca,Goalkeeper,,,,,,s2122
Fidel Chaves de la Torre,Elche CF,Forward,6.0,5.0,2280.0,,9.0,s2122
Filip Jörgensen,Villarreal CF,Goalkeeper,,,,,,s2122
Florentino Ibrain Morris Luís,Getafe CF,Midfielder,1.0,,984.0,,2.0,s2122
Florian Lejeune,Deportivo Alavés,Defender,,,2699.0,1.0,7.0,s2122
Florin Andone,Cádiz CF,Forward,,,173.0,,1.0,s2122
Francisco Beltrán,RC Celta,Midfielder,,1.0,2608.0,,4.0,s2122
Francisco Delgado,Real Betis,Defender,,,,,,s2122
Francisco José García Torres,Rayo Vallecano,Defender,,1.0,3027.0,,4.0,s2122
Francisco Mérida Pérez,RCD Espanyol de Barcelona,Midfielder,,,262.0,1.0,2.0,s2122
Francis Coquelin,Villarreal CF,Midfielder,1.0,2.0,826.0,,3.0,s2122
Franco Cervi,RC Celta,Forward,3.0,4.0,1804.0,,6.0,s2122
Franco Russo,RCD Mallorca,Defender,,1.0,1464.0,2.0,3.0,s2122
Frenkie de Jong,FC Barcelona,Midfielder,3.0,3.0,2486.0,1.0,5.0,s2122
Gabriel Armando de Abreu,Valencia CF,Defender,1.0,2.0,1596.0,,2.0,s2122
Gabriel Veiga,RC Celta,Midfielder,,,102.0,,,s2122
Gaizka Ayesa,R. Sociedad B,Goalkeeper,,,1857.0,,,s2122
Gaizka Campos,RC Celta,Goalkeeper,,,,,,s2122
Gareth Bale,Real Madrid,Forward,,1.0,283.0,,2.0,s2122
Gastón Álvarez,Getafe CF,Defender,,,,,,s2122
Pablo Martín Páez,FC Barcelona,Midfielder,5.0,2.0,2329.0,1.0,9.0,s2122
Geoffrey Kondogbia,Atlético de Madrid,Midfielder,2.0,1.0,1883.0,2.0,9.0,s2122
Gerard Gumbau,Elche CF,Midfielder,4.0,,1889.0,1.0,8.0,s2122
Gerard Moreno,Villarreal CF,Forward,3.0,9.0,1194.0,,2.0,s2122
Gerard Piqué,FC Barcelona,Defender,,1.0,2095.0,1.0,8.0,s2122
Germán Pezzella,Real Betis,Defender,,1.0,1991.0,1.0,5.0,s2122
Germán Sánchez,Granada CF,Defender,1.0,2.0,2296.0,1.0,9.0,s2122
Germán Valera,Real Sociedad,Forward,,,49.0,,,s2122
Gerónimo Rulli,Villarreal CF,Goalkeeper,,,2880.0,,2.0,s2122
Giorgi Gagua,Deportivo Alavés,Forward,,,,,,s2122
Giorgi Kochorashvili,Levante UD,Midfielder,,,,,,s2122
Giorgi Mamardashvili,Valencia CF,Goalkeeper,,,1620.0,,2.0,s2122
Giovani Lo Celso,,,,,,,,s2122
Giovanni González,RCD Mallorca,Defender,,1.0,363.0,,1.0,s2122
Giuliano Simeone,Atlético de Madrid,Forward,,,1.0,,,s2122
Gonzalo Escalante,Deportivo Alavés,Midfielder,,5.0,1305.0,1.0,6.0,s2122
Gonzalo Melero,Levante UD,Midfielder,2.0,7.0,1696.0,,5.0,s2122
Gonzalo Montiel,Sevilla FC,Defender,2.0,1.0,1068.0,,7.0,s2122
Gonzalo Verdú,Elche CF,Defender,,,1387.0,,11.0,s2122
Gonzalo Villar,Getafe CF,Midfielder,1.0,,291.0,,,s2122
Gonçalo Manuel Ganchinho Guedes,Valencia CF,Midfielder,6.0,11.0,2613.0,,3.0,s2122
Gregorio Gracia Sánchez,RCD Espanyol de Barcelona,Defender,,,8.0,,1.0,s2122
Guido Carrillo,Elche CF,Forward,,2.0,1157.0,,3.0,s2122
Guido Rodríguez,Real Betis,Midfielder,2.0,1.0,2533.0,1.0,7.0,s2122
Guillem Jaime,FC Barcelona,Defender,,,,,,s2122
Helibelton Palacios Zapata,Elche CF,Defender,,,1931.0,,6.0,s2122
Hernâni Jorge Santos Fortes,UD Las Palmas,Forward,,,91.0,,,s2122
Hugo Duro,Valencia CF,Forward,1.0,7.0,1844.0,1.0,2.0,s2122
Hugo González,Valencia CF,Midfielder,,,,,,s2122
Hugo Guillamón,Valencia CF,Defender,,1.0,2366.0,2.0,8.0,s2122
Hugo Mallo,RC Celta,Defender,1.0,1.0,1828.0,2.0,3.0,s2122
Hugo Sotelo,RC Celta,Midfielder,,,1.0,,,s2122
Hugo Álvarez,RC Celta,Midfielder,,,10.0,,,s2122
Héctor Bellerín,Real Betis,Defender,2.0,,1979.0,1.0,2.0,s2122
Héctor Herrera,Atlético de Madrid,Midfielder,,,852.0,,4.0,s2122
Hélder Wander Sousa de Azevedo e Costa,Valencia CF,Midfielder,1.0,,1117.0,,3.0,s2122
Iago Aspas,RC Celta,Forward,6.0,18.0,3093.0,,8.0,s2122
Ibrahima Vaniel Cámara Silva,Atlético de Madrid,Defender,,,,,,s2122
Iddrisu Baba,RCD Mallorca,Midfielder,1.0,1.0,1943.0,,9.0,s2122
Ignasi Miquel,SD Huesca,Defender,,4.0,2902.0,1.0,8.0,s2122
Igor Zubeldia,Real Sociedad,Midfielder,1.0,,1648.0,,7.0,s2122
Iker Benito,CA Osasuna,Forward,,,116.0,,1.0,s2122
Iker Muniain,Athletic Club,Forward,10.0,4.0,2802.0,,3.0,s2122
Iker Recio,Rayo Vallecano,Defender,,,,,,s2122
Iker Álvarez de Eulate Molne,Villarreal CF,Goalkeeper,,,,,,s2122
Moriba Kourouma Kourouma,Valencia CF,Midfielder,,,817.0,1.0,7.0,s2122
Ilias Akhomach,FC Barcelona,Forward,,,125.0,,,s2122
Francisco Román Alarcón Suárez,Real Madrid,Midfielder,,1.0,323.0,,1.0,s2122
Isaac Palazón,Rayo Vallecano,Midfielder,4.0,2.0,2298.0,,7.0,s2122
Ismael Ruiz,Granada CF,Midfielder,,,282.0,,1.0,s2122
Ivan Rakitic,Sevilla FC,Midfielder,6.0,4.0,2185.0,,5.0,s2122
Ivan Saponjic,,,,,,,,s2122
Ivo Grbic,LOSC,Goalkeeper,,,1890.0,,3.0,s2122
Iván Alejo,Cádiz CF,Midfielder,2.0,2.0,1068.0,,7.0,s2122
Iván Arboleda,,,,,,,,s2122
