player_name,team,shirt_number,country,position,age,minutes_played,goals,assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,yellow_cards,red_cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Miguel,Leganés,9,ESP,FW,24-349,87,0,0,0,0,2,1,0,0,21,0,0,0,0.1,0.1,0.0,3,0,3,9,"33,3",0,14,1,2,0,2024-08-17
Diego,Leganés,19,ESP,FW,24-121,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-08-17
Enric Franquesa,Leganés,15,ESP,LW,27-173,90,0,0,0,0,0,0,0,0,32,5,0,1,0.0,0.0,0.0,0,0,9,18,"50,0",0,10,1,3,1,2024-08-17
Juan Cruz,Leganés,11,ESP,RW,24-114,62,1,0,0,0,1,1,0,0,29,0,0,0,0.4,0.4,0.2,4,1,12,23,"52,2",1,12,1,2,1,2024-08-17
Dani Raba,Leganés,10,ESP,RW,28-293,28,0,0,0,0,1,0,0,0,16,1,1,0,0.1,0.1,0.0,5,0,7,10,"70,0",0,9,2,1,1,2024-08-17
Seydouba Cissé,Leganés,8,GUI,AM,23-189,73,0,0,0,0,1,0,0,0,40,0,0,1,0.0,0.0,0.0,2,0,27,32,"84,4",2,27,1,1,1,2024-08-17
Julián Chicco,Leganés,24,ARG,AM,26-217,17,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,4,6,"66,7",2,5,1,1,0,2024-08-17
Yvan Neyou,Leganés,17,CMR,DM,27-227,90,0,0,0,0,1,0,0,0,50,3,1,3,0.0,0.0,0.0,0,0,23,39,"59,0",1,18,0,0,0,2024-08-17
Darko Brašanac,Leganés,14,SRB,DM,32-187,87,0,0,0,0,1,1,0,0,40,2,1,2,0.2,0.2,0.0,0,0,17,31,"54,8",3,11,0,1,0,2024-08-17
Renato Tapia,Leganés,5,PER,DM,29-020,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,1,"0,0",0,0,0,0,0,2024-08-17
Javi Hernández,Leganés,20,ESP,LB,26-107,90,0,1,0,0,2,1,0,0,51,2,1,1,0.1,0.1,0.6,3,1,25,32,"78,1",4,19,2,1,1,2024-08-17
Sergi,Leganés,6,ESP,CB,32-119,90,0,0,0,0,0,0,0,0,42,0,1,1,0.0,0.0,0.0,1,0,23,30,"76,7",1,19,0,0,0,2024-08-17
Aritz Arambarri,Leganés,22,ESP,CB,26-199,87,0,0,0,0,1,0,0,0,45,1,2,2,0.0,0.0,0.0,1,0,22,32,"68,8",1,24,0,0,0,2024-08-17
Roberto López,Leganés,21,ESP,CB,24-115,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,1,0,0,0,2024-08-17
Valentin Rosier,Leganés,12,FRA,RB,27-364,90,0,0,0,0,0,0,1,0,55,4,2,0,0.0,0.0,0.0,0,0,29,43,"67,4",1,20,0,1,0,2024-08-17
Juan Soriano,Leganés,1,ESP,GK,26-360,90,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,0,0,11,32,"34,4",0,17,0,0,0,2024-08-17
Hugo Duro,Valencia,9,ESP,FW,24-281,90,1,0,0,0,4,1,0,0,19,0,1,2,1.0,1.0,0.0,0,0,4,8,"50,0",0,8,3,1,1,2024-08-17
Domingos André Ribeiro Almeida,Valencia,10,POR,FW,24-079,65,0,0,0,0,0,0,0,0,21,2,0,1,0.0,0.0,0.0,2,0,14,17,"82,4",3,9,1,1,1,2024-08-17
Dani Gómez,Valencia,17,ESP,FW,26-018,25,0,0,0,0,0,0,0,0,11,0,2,0,0.0,0.0,0.0,0,0,6,8,"75,0",0,4,0,0,0,2024-08-17
Diego López,Valencia,16,ESP,LM,22-096,65,0,1,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.9,3,1,12,19,"63,2",2,14,3,1,0,2024-08-17
Dimitri Foulquier,Valencia,20,FRA,LM,31-147,25,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,8,14,"57,1",0,6,0,0,0,2024-08-17
Javier Guerra,Valencia,8,ESP,CM,21-229,85,0,0,0,0,0,0,0,0,33,3,0,0,0.0,0.0,0.0,2,0,15,20,"75,0",3,7,0,1,0,2024-08-17
Hugo Guillamón,Valencia,6,ESP,CM,24-199,5,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,9,9,"100,0",0,2,0,0,0,2024-08-17
José Luis García Vayá,Valencia,18,ESP,CM,26-006,90,0,0,0,0,1,0,1,0,59,4,0,1,0.0,0.0,0.2,2,0,32,50,"64,0",2,15,0,0,0,2024-08-17
Rafa Mir,Valencia,11,ESP,RM,27-060,76,0,0,0,0,1,0,0,0,25,3,0,1,0.0,0.0,0.0,0,0,8,13,"61,5",1,8,2,4,0,2024-08-17
David Otorbi,Valencia,27,ESP,LM,16-306,14,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,4,"50,0",0,3,1,2,0,2024-08-17
Jesús Vázquez,Valencia,21,ESP,LB,21-228,76,0,0,0,0,0,0,1,0,23,2,0,0,0.0,0.0,0.0,1,1,13,18,"72,2",0,13,4,1,0,2024-08-17
Martín Tejón,Valencia,32,ESP,LB,20-127,14,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,6,7,"85,7",1,3,0,1,1,2024-08-17
Yarek Gasiorowski,Valencia,24,ESP,CB,19-218,90,0,0,0,0,0,0,0,0,50,1,1,3,0.0,0.0,0.0,0,0,33,36,"91,7",2,15,0,0,0,2024-08-17
Cristhian Mosquera,Valencia,3,ESP,CB,20-051,90,0,0,0,0,0,0,0,0,68,1,0,2,0.0,0.0,0.0,0,0,52,56,"92,9",1,31,1,2,1,2024-08-17
Thierry Correia,Valencia,12,POR,RB,25-161,90,0,0,0,0,0,0,0,0,53,1,1,0,0.0,0.0,0.0,0,0,38,48,"79,2",4,20,2,3,2,2024-08-17
Giorgi Mamardashvili,Valencia,25,GEO,GK,23-323,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,22,37,"59,5",0,21,0,0,0,2024-08-17
Robert Lewandowski,Barcelona,9,POL,FW,35-362,90,2,0,1,1,3,1,0,0,26,1,0,0,1.8,1.0,0.1,5,0,15,17,"88,2",2,16,0,0,0,2024-08-17
Ferrán Torres,Barcelona,7,ESP,LW,24-170,63,0,0,0,0,1,1,0,0,21,0,0,0,0.2,0.2,0.0,3,1,11,16,"68,8",1,9,3,0,0,2024-08-17
Pedri,Barcelona,8,ESP,"LM,AM",21-266,27,0,0,0,0,1,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,15,20,"75,0",0,14,3,0,0,2024-08-17
Lamine Yamal,Barcelona,19,ESP,RW,17-035,85,0,1,0,0,4,1,0,0,60,1,0,0,0.4,0.4,1.1,9,1,40,46,"87,0",4,45,2,9,3,2024-08-17
Pau Victor Delgado,Barcelona,18,ESP,LW,22-265,5,0,0,0,0,0,0,0,0,8,1,0,2,0.0,0.0,0.1,2,0,5,6,"83,3",2,6,0,2,1,2024-08-17
Raphinha,Barcelona,11,BRA,"AM,LW,RW",27-247,90,0,0,0,0,2,1,0,0,61,1,0,1,0.1,0.1,0.4,4,1,35,52,"67,3",6,30,1,1,0,2024-08-17
Marc Casado,Barcelona,17,ESP,"DM,RM",20-338,90,0,0,0,0,3,0,0,0,79,4,0,0,0.6,0.6,0.1,5,0,52,62,"83,9",10,41,1,3,2,2024-08-17
Marc Bernal,Barcelona,28,ESP,DM,17-083,70,0,0,0,0,0,0,0,0,59,4,0,1,0.0,0.0,0.0,0,0,49,52,"94,2",1,35,0,1,0,2024-08-17
Eric García,Barcelona,24,ESP,CM,23-221,20,0,0,0,0,0,0,0,0,15,0,1,1,0.0,0.0,0.0,0,0,10,11,"90,9",2,5,0,0,0,2024-08-17
Alejandro Balde,Barcelona,3,ESP,LB,20-304,63,0,0,0,0,1,1,0,0,50,0,1,0,0.0,0.0,0.4,3,0,42,47,"89,4",5,35,5,3,2,2024-08-17
Gerard Martín,Barcelona,35,ESP,LB,22-229,27,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.2,1,0,17,20,"85,0",2,6,0,0,0,2024-08-17
Íñigo Martínez,Barcelona,5,ESP,CB,33-092,90,0,0,0,0,1,0,0,0,90,0,1,0,0.1,0.1,0.0,1,0,75,85,"88,2",7,58,0,0,0,2024-08-17
Pau Cubarsí,Barcelona,2,ESP,CB,17-208,63,0,0,0,0,1,0,1,0,58,0,0,1,0.0,0.0,0.0,0,0,44,51,"86,3",3,36,0,0,0,2024-08-17
Andreas Christensen,Barcelona,15,DEN,CB,28-129,27,0,0,0,0,0,0,1,0,18,0,0,0,0.0,0.0,0.0,0,0,14,16,"87,5",0,9,0,0,0,2024-08-17
Jules Koundé,Barcelona,23,FRA,RB,25-279,90,0,0,0,0,0,0,1,0,82,1,1,1,0.0,0.0,0.0,0,0,68,75,"90,7",5,47,1,2,1,2024-08-17
Marc-André ter Stegen,Barcelona,1,GER,GK,32-109,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,34,41,"82,9",0,27,0,0,0,2024-08-17
Mikel Oyarzabal,Real Sociedad,10,ESP,FW,27-119,82,0,0,0,0,2,0,0,0,25,0,0,0,0.2,0.2,0.0,2,0,10,17,"58,8",0,13,0,1,1,2024-08-18
Luka Sučić,Real Sociedad,24,CRO,FW,21-345,8,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,1,1,7,9,"77,8",1,5,0,0,0,2024-08-18
Sheraldo Becker,Real Sociedad,11,SUR,LW,29-191,90,0,0,0,0,2,1,0,0,35,1,0,0,0.1,0.1,0.2,2,0,15,31,"48,4",1,21,6,0,0,2024-08-18
Takefusa Kubo,Real Sociedad,14,JPN,RW,23-075,67,0,0,0,0,0,0,0,0,23,1,0,3,0.0,0.0,0.1,4,0,11,14,"78,6",2,17,2,6,2,2024-08-18
Sergio Gómez,Real Sociedad,17,ESP,RW,23-349,23,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,16,23,"69,6",1,13,0,1,0,2024-08-18
Beñat Turrientes,Real Sociedad,22,ESP,LM,22-200,67,0,0,0,0,1,1,0,0,35,4,0,2,0.0,0.0,0.0,0,0,19,25,"76,0",4,13,1,1,1,2024-08-18
Ander Barrenetxea,Real Sociedad,7,ESP,LM,22-235,23,0,0,0,0,0,0,0,0,19,0,1,2,0.0,0.0,0.1,1,0,11,15,"73,3",0,14,2,0,0,2024-08-18
Urko González,Real Sociedad,15,ESP,CM,23-151,45,0,0,0,0,0,0,1,0,20,0,0,1,0.0,0.0,0.0,1,0,10,17,"58,8",1,12,0,0,0,2024-08-18
Martín Zubimendi,Real Sociedad,4,ESP,CM,25-198,45,1,0,0,0,2,1,0,0,32,1,0,1,0.4,0.4,0.0,0,0,20,26,"76,9",4,11,1,0,0,2024-08-18
Brais Méndez,Real Sociedad,23,ESP,RM,27-224,90,0,0,0,0,2,1,0,0,62,1,0,1,0.1,0.1,0.0,1,0,37,50,"74,0",4,33,1,1,1,2024-08-18
Javi López,Real Sociedad,12,ESP,LB,22-146,90,0,0,0,0,1,0,0,0,66,0,0,3,0.0,0.0,0.0,1,0,45,55,"81,8",5,28,3,1,0,2024-08-18
Jon Pacheco,Real Sociedad,20,ESP,CB,23-223,90,0,0,0,0,0,0,0,0,60,1,1,1,0.0,0.0,0.0,3,0,45,51,"88,2",1,27,1,0,0,2024-08-18
Aritz Elustondo,Real Sociedad,6,ESP,CB,30-143,90,0,0,0,0,1,0,0,0,82,1,1,1,0.2,0.2,0.0,1,0,70,77,"90,9",7,49,1,0,0,2024-08-18
Hamari Traoré,Real Sociedad,18,MLI,RB,32-204,74,0,0,0,0,0,0,0,0,54,2,0,0,0.0,0.0,0.0,1,0,40,50,"80,0",3,18,1,1,1,2024-08-18
Jon Aramburu,Real Sociedad,27,VEN,RB,22-026,16,0,0,0,0,0,0,1,0,19,0,0,0,0.0,0.0,0.0,1,1,11,17,"64,7",4,7,0,1,0,2024-08-18
Álex Remiro,Real Sociedad,1,ESP,GK,29-147,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,28,35,"80,0",0,21,0,0,0,2024-08-18
Isaac Palazón Camacho,Rayo Vallecano,7,ESP,"FW,RW",29-235,90,0,0,0,0,2,0,0,0,34,0,0,0,0.0,0.0,0.1,5,0,19,25,"76,0",2,20,1,2,1,2024-08-18
Randy Nteka,Rayo Vallecano,11,ANG,FW,26-256,62,0,0,0,0,0,0,1,0,18,2,0,0,0.0,0.0,0.0,2,0,7,10,"70,0",0,6,0,1,0,2024-08-18
Sergio Camello,Rayo Vallecano,14,ESP,FW,23-190,28,1,0,0,0,1,1,0,0,8,0,0,0,0.2,0.2,0.0,0,0,2,3,"66,7",0,4,1,0,0,2024-08-18
Adri Embarba,Rayo Vallecano,21,ESP,LM,32-103,74,0,0,0,0,1,0,1,0,35,1,0,0,0.0,0.0,0.0,0,0,16,29,"55,2",1,18,2,3,2,2024-08-18
Pep Chavarría,Rayo Vallecano,3,ESP,LW,26-130,16,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,3,"66,7",1,2,0,0,0,2024-08-18
Óscar Valentín,Rayo Vallecano,23,ESP,CM,29-364,90,0,0,0,0,0,0,0,0,45,3,1,2,0.0,0.0,0.0,1,0,26,29,"89,7",4,14,1,0,0,2024-08-18
Unai López,Rayo Vallecano,17,ESP,CM,28-293,45,0,0,0,0,0,0,1,0,29,0,1,2,0.0,0.0,0.0,2,0,18,22,"81,8",3,10,0,0,0,2024-08-18
Gerard Gumbau,Rayo Vallecano,15,ESP,CM,29-244,45,0,0,0,0,1,1,0,0,16,1,0,1,0.2,0.2,0.0,1,0,7,12,"58,3",0,5,0,1,1,2024-08-18
Jorge de Frutos,Rayo Vallecano,19,ESP,RM,27-180,74,1,0,0,0,1,1,0,0,16,2,1,0,0.2,0.2,0.0,2,1,4,11,"36,4",0,11,2,1,1,2024-08-18
Pathé Ciss,Rayo Vallecano,6,SEN,CM,30-155,16,0,1,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.2,1,1,2,5,"40,0",2,2,1,0,0,2024-08-18
Alfonso Espino,Rayo Vallecano,22,URU,LB,32-226,90,0,0,0,0,2,0,0,0,55,6,2,1,0.0,0.0,0.0,1,0,16,36,"44,4",3,16,1,2,1,2024-08-18
Abdul Mumin,Rayo Vallecano,16,GHA,CB,26-073,90,0,1,0,0,0,0,0,0,36,1,1,1,0.0,0.0,0.2,1,1,17,23,"73,9",3,11,2,0,0,2024-08-18
Florian Lejeune,Rayo Vallecano,24,FRA,CB,33-090,90,0,0,0,0,2,1,1,0,35,0,0,1,0.1,0.1,0.0,0,0,10,21,"47,6",1,8,0,0,0,2024-08-18
Andrei Ratiu,Rayo Vallecano,2,ROU,RB,26-059,79,0,0,0,0,2,0,0,0,32,1,1,0,0.4,0.4,0.0,2,0,14,21,"66,7",1,11,2,1,0,2024-08-18
Iván Balliu,Rayo Vallecano,20,ALB,RB,32-230,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,"50,0",0,3,0,0,0,2024-08-18
Cárdenas,Rayo Vallecano,1,ESP,GK,27-143,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,5,15,"33,3",0,5,0,0,0,2024-08-18
Vedat Muriqi,Mallorca,7,KVX,FW,30-116,90,1,0,0,0,3,3,0,0,37,0,0,0,0.4,0.4,0.0,1,0,14,19,"73,7",2,11,0,3,0,2024-08-18
Dani Rodríguez,Mallorca,14,ESP,LW,36-073,66,0,1,0,0,2,0,0,0,32,0,0,0,0.1,0.1,0.1,2,2,19,28,"67,9",4,16,0,0,0,2024-08-18
Antonio Sánchez,Mallorca,18,ESP,RW,27-230,24,0,0,0,0,3,0,0,0,10,0,2,0,0.4,0.4,0.0,1,0,0,4,"0,0",0,3,0,0,0,2024-08-18
Takuma Asano,Mallorca,11,JPN,"RW,LW",29-282,71,0,0,0,0,1,1,0,0,20,3,1,1,0.0,0.0,0.0,1,0,7,12,"58,3",2,14,3,1,1,2024-08-18
Cyle Larin,Mallorca,17,CAN,LW,29-123,19,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,1,0,7,10,"70,0",1,6,1,1,1,2024-08-18
Samú Costa,Mallorca,12,POR,LM,23-265,90,0,0,0,0,2,1,0,0,56,7,0,1,0.0,0.0,0.0,2,0,37,41,"90,2",1,28,0,2,0,2024-08-18
Omar Mascarell,Mallorca,5,EQG,CM,31-198,89,0,0,0,0,0,0,0,0,51,1,3,1,0.0,0.0,0.0,1,0,41,44,"93,2",1,26,1,0,0,2024-08-18
José Copete,Mallorca,6,ESP,CM,24-313,1,0,0,0,0,0,0,0,0,3,1,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-08-18
Sergi Darder,Mallorca,10,ESP,RM,30-240,71,0,0,0,0,0,0,0,0,34,0,1,1,0.0,0.0,0.0,2,0,22,29,"75,9",3,18,0,0,0,2024-08-18
Manu Morlanes,Mallorca,8,ESP,RM,25-219,19,0,0,0,0,0,0,0,0,14,0,2,1,0.0,0.0,0.0,3,0,10,11,"90,9",2,8,1,0,0,2024-08-18
Johan Mojica,Mallorca,22,COL,LB,31-363,90,0,0,0,0,1,0,0,0,64,1,3,0,0.0,0.0,0.1,4,0,44,55,"80,0",7,45,3,6,4,2024-08-18
Antonio Raíllo,Mallorca,21,ESP,CB,32-315,90,0,0,0,0,0,0,0,0,43,0,0,2,0.0,0.0,0.0,1,0,39,40,"97,5",1,17,0,0,0,2024-08-18
Martin Valjent,Mallorca,24,SVK,CB,28-251,90,0,0,0,0,0,0,0,0,29,0,0,2,0.0,0.0,0.0,0,0,15,18,"83,3",0,8,0,0,0,2024-08-18
Pablo Maffeo,Mallorca,23,ESP,RB,27-037,90,0,0,0,0,0,0,1,0,52,5,1,1,0.0,0.0,0.1,3,0,26,36,"72,2",4,19,1,2,0,2024-08-18
Dominik Greif,Mallorca,1,SVK,GK,27-134,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,6,15,"40,0",0,9,0,0,0,2024-08-18
Kylian Mbappé,Real Madrid,9,FRA,FW,25-242,90,0,0,0,0,4,2,0,0,40,0,0,0,0.3,0.3,0.0,0,0,25,32,"78,1",5,26,5,5,3,2024-08-18
Vinícius Júnior,Real Madrid,7,BRA,LW,24-037,87,0,1,0,0,2,0,0,0,55,0,0,0,0.1,0.1,0.3,7,1,33,44,"75,0",5,41,4,8,3,2024-08-18
Brahim Díaz,Real Madrid,21,MAR,LW,25-015,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,5,5,"100,0",2,5,0,0,0,2024-08-18
Rodrygo Silva de Goes,Real Madrid,11,BRA,RW,23-222,90,1,0,0,0,3,2,0,0,77,1,0,2,0.2,0.2,0.0,3,0,60,69,"87,0",4,50,5,4,2,2024-08-18
Jude Bellingham,Real Madrid,5,ENG,LM,21-050,87,0,0,0,0,0,0,0,0,82,6,0,2,0.0,0.0,0.1,4,0,63,73,"86,3",14,57,2,1,1,2024-08-18
Arda Güler,Real Madrid,15,TUR,RM,19-175,3,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,4,"50,0",0,3,0,1,1,2024-08-18
Aurélien Tchouaméni,Real Madrid,14,FRA,CM,24-204,62,0,0,0,0,0,0,0,0,63,4,0,0,0.0,0.0,0.0,1,0,57,58,"98,3",4,42,0,0,0,2024-08-18
Luka Modrić,Real Madrid,10,CRO,CM,38-344,28,0,0,0,0,2,1,0,0,46,0,0,0,0.0,0.0,0.0,3,0,36,44,"81,8",5,33,0,0,0,2024-08-18
Federico Valverde,Real Madrid,8,URU,"RM,LM",26-027,90,0,0,0,0,0,0,0,0,88,1,1,0,0.0,0.0,0.0,4,0,69,78,"88,5",8,54,1,0,0,2024-08-18
Ferland Mendy,Real Madrid,23,FRA,LB,29-071,89,0,0,0,0,0,0,0,1,81,1,0,1,0.0,0.0,0.0,0,0,71,72,"98,6",3,46,0,0,0,2024-08-18
Antonio Rüdiger,Real Madrid,22,GER,CB,31-168,90,0,0,0,0,1,0,0,0,83,0,1,1,0.0,0.0,0.0,1,0,65,73,"89,0",9,50,1,1,1,2024-08-18
Éder Militão,Real Madrid,3,BRA,CB,26-213,90,0,0,0,0,1,0,0,0,67,2,0,0,0.0,0.0,0.0,0,0,58,60,"96,7",5,51,1,0,0,2024-08-18
Dani Carvajal,Real Madrid,2,ESP,RB,32-220,86,0,0,0,0,0,0,0,0,68,0,2,0,0.0,0.0,0.0,1,0,50,59,"84,7",2,36,0,0,0,2024-08-18
Lucas Vázquez,Real Madrid,17,ESP,RB,33-048,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,"50,0",0,1,0,0,0,2024-08-18
Thibaut Courtois,Real Madrid,1,BEL,GK,32-099,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,26,"92,3",0,17,0,0,0,2024-08-18
Mamadou Sylla,Valladolid,7,SEN,FW,30-152,90,0,0,0,0,3,0,0,0,18,0,0,0,0.3,0.3,0.0,1,0,8,13,"61,5",2,7,0,0,0,2024-08-19
Raúl Moro,Valladolid,11,ESP,LW,21-258,90,1,0,0,0,1,1,0,0,46,0,0,0,0.1,0.1,0.2,4,0,18,34,"52,9",7,32,7,9,5,2024-08-19
Amath,Valladolid,19,SEN,RW,28-034,69,0,1,0,0,1,0,0,0,26,0,0,1,0.0,0.0,0.1,4,1,17,22,"77,3",2,17,1,2,2,2024-08-19
Iván Sánchez,Valladolid,10,ESP,RW,31-331,21,0,0,0,0,0,0,1,0,8,1,2,0,0.0,0.0,0.0,0,0,2,3,"66,7",1,5,1,0,0,2024-08-19
Selim Amallah,Valladolid,21,MAR,CM,27-278,68,0,0,0,0,2,0,0,0,34,1,1,3,0.2,0.2,0.0,3,0,21,25,"84,0",5,16,2,2,2,2024-08-19
Víctor Meseguer,Valladolid,4,ESP,CM,25-071,22,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,7,"100,0",3,5,0,0,0,2024-08-19
Eray Cömert,Valladolid,15,SUI,"CM,CB",26-197,81,0,0,0,0,3,0,0,0,38,2,0,2,0.2,0.2,0.0,0,0,21,29,"72,4",0,16,1,0,0,2024-08-19
David Torres,Valladolid,3,ESP,CB,21-167,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",1,0,0,0,0,2024-08-19
Kike Pérez,Valladolid,8,ESP,CM,27-187,81,0,0,0,0,1,0,0,0,57,2,2,1,0.0,0.0,0.2,3,0,41,45,"91,1",11,36,0,3,1,2024-08-19
Chuky san jose,Valladolid,28,ESP,CM,20-112,9,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,4,"75,0",0,4,0,0,0,2024-08-19
Lucas Oliveira Rosa,Valladolid,22,BRA,LB,24-138,90,0,0,0,0,1,0,1,0,53,1,0,1,0.0,0.0,0.0,1,0,34,48,"70,8",5,21,0,0,0,2024-08-19
Enzo Boyomo,Valladolid,6,CMR,CB,22-317,90,0,0,0,0,0,0,0,0,61,0,1,0,0.0,0.0,0.0,0,0,53,56,"94,6",0,41,0,0,0,2024-08-19
Javi Sánchez,Valladolid,5,ESP,CB,27-158,61,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.2,2,0,37,42,"88,1",2,27,0,0,0,2024-08-19
Stanko Jurić,Valladolid,20,CRO,CM,28-003,29,0,0,0,0,0,0,0,0,22,0,0,3,0.0,0.0,0.0,0,0,15,17,"88,2",2,10,0,0,0,2024-08-19
Luis Pérez,Valladolid,2,ESP,RB,29-197,90,0,0,0,0,0,0,0,0,71,1,2,3,0.0,0.0,0.1,3,0,47,59,"79,7",2,30,4,3,3,2024-08-19
Karl Jakob Hein,Valladolid,13,EST,GK,22-128,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,24,38,"63,2",0,25,0,0,0,2024-08-19
Javi Puado,Espanyol,7,ESP,FW,26-086,90,0,0,0,0,3,0,0,0,35,0,0,1,0.1,0.1,0.0,2,0,22,26,"84,6",5,21,1,1,0,2024-08-19
Alejo Véliz,Espanyol,9,ARG,FW,20-335,69,0,0,0,0,1,1,0,0,27,1,1,3,0.0,0.0,0.0,0,0,9,15,"60,0",1,7,0,1,1,2024-08-19
Antoniu,Espanyol,31,ESP,LM,21-349,21,0,0,0,0,1,0,1,0,7,0,1,0,0.0,0.0,0.1,3,0,3,4,"75,0",0,5,0,0,0,2024-08-19
Pol Lozano,Espanyol,10,ESP,CM,24-318,56,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,24,28,"85,7",2,13,0,0,0,2024-08-19
Alex Král,Espanyol,20,CZE,CM,26-092,34,0,0,0,0,1,0,0,0,26,2,0,0,0.0,0.0,0.0,1,0,16,20,"80,0",2,12,1,1,0,2024-08-19
José Gragera,Espanyol,15,ESP,CM,23-263,77,0,0,0,0,0,0,0,0,54,3,1,0,0.0,0.0,0.0,0,0,42,48,"87,5",1,18,0,1,0,2024-08-19
Álvaro Aguado,Espanyol,18,ESP,CM,28-110,13,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,1,0,11,14,"78,6",3,9,1,0,0,2024-08-19
Pere Milla,Espanyol,11,ESP,"LM,CM",31-331,56,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,13,19,"68,4",1,9,0,0,0,2024-08-19
Irvin Cardona,Espanyol,24,FRA,"FW,LM",27-011,34,0,0,0,0,1,0,1,0,9,0,0,0,0.1,0.1,0.0,2,0,6,8,"75,0",0,2,0,0,0,2024-08-19
Carlos Romero,Espanyol,22,ESP,LB,22-295,90,0,0,0,0,0,0,0,0,57,1,0,1,0.0,0.0,0.1,3,0,38,51,"74,5",1,19,1,0,0,2024-08-19
Leandro Cabrera,Espanyol,6,URU,CB,33-063,90,0,0,0,0,0,0,0,0,96,0,2,2,0.0,0.0,0.0,3,0,66,89,"74,2",6,48,0,0,0,2024-08-19
Sergi Gómez,Espanyol,3,ESP,CB,32-144,90,0,0,0,0,1,1,0,0,77,0,1,2,0.3,0.3,0.0,1,0,66,72,"91,7",2,26,0,0,0,2024-08-19
Omar El Hilali,Espanyol,23,MAR,"RB,CB",20-342,90,0,0,0,0,0,0,0,0,61,2,0,2,0.0,0.0,0.0,0,0,42,49,"85,7",2,26,0,0,0,2024-08-19
Álvaro Tejero,Espanyol,12,ESP,"RM,RB",28-030,69,0,0,0,0,1,0,0,0,38,0,0,1,0.0,0.0,0.1,2,0,23,33,"69,7",1,15,1,0,0,2024-08-19
Jofre Carreras,Espanyol,17,ESP,RM,23-063,21,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,8,10,"80,0",0,9,0,1,1,2024-08-19
Joan García,Espanyol,1,ESP,GK,23-107,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,28,34,"82,4",0,12,0,0,0,2024-08-19
