player_name,team,position,minutes_played,goals,assists,yellow_cards,red_cards,Shots per 90,Tackles per 90,Total Saves,Total Interceptions,Pass Success (%),Fouls Committed per 90,Expected Goals (xG),Clean Sheets,Big Chances Created,FotMob Rating
Ferland Mendy,Real Madrid,Not Available,1725,0,0,5,0,0.3,0.5,0,13,94.2,0.9,0.2,0,1,7.05
Fermin López,Barcelona,Not Available,1444,8,0,2,0,3.2,1.3,0,4,85.0,2.7,7.5,0,1,6.87
Fernando Francisco Reges,Sevilla,Not Available,459,0,0,0,0,,,0,0,,,0.0,0,1,
Ferrán Torres,Barcelona,Not Available,1204,7,2,2,0,2.8,0.4,0,5,80.4,0.6,5.5,0,2,6.78
Filip Jörgensen,Villarreal,Not Available,3240,0,0,4,0,,0.0,143,2,78.0,0.1,,6,0,6.65
Florian Lejeune,Rayo Vallecano,Not Available,3328,3,1,5,0,1.8,0.7,0,23,81.3,0.7,3.3,0,2,6.92
Fran Beltrán,Celta de Vigo,Not Available,2438,0,0,2,0,0.8,1.2,0,18,87.4,1.0,0.8,0,1,6.75
Fran Pérez,Valencia CF,Not Available,2069,1,4,4,0,0.9,0.7,0,14,80.0,1.3,1.1,0,6,6.56
Francis Coquelin,Villarreal,Not Available,909,0,0,4,0,,,0,0,,,0.1,0,0,
Francisco Garcia,Real Madrid,Not Available,1396,1,5,2,0,0.6,1.1,0,19,88.8,0.6,0.5,0,5,7.05
Francisco Vieites,Real Betis,Not Available,315,0,0,0,0,,,0,0,,,,2,0,
Franco Cervi,Celta de Vigo,Not Available,537,0,1,2,0,,,0,0,,,0.5,0,3,
Frenkie de Jong,Barcelona,Not Available,1637,2,0,7,0,0.4,1.4,0,14,93.1,1.0,0.7,0,4,7.54
Gabriel Paulista,Atlético de Madrid,Not Available,1806,0,0,5,0,0.4,0.6,0,28,86.5,0.7,0.5,0,0,6.7
Gabriel Paulista,Valencia CF,Not Available,1806,0,0,0,1,,,0,0,,,,0,0,
Gastón Álvarez,Getafe,Not Available,2535,2,0,7,0,0.5,1.3,0,35,76.2,1.5,0.9,0,1,6.8
Gavi,Barcelona,Not Available,943,1,1,5,0,,,0,0,,,0.9,0,2,
Gerard Gumbau,Granada CF,Not Available,2684,0,3,12,0,1.5,1.1,0,25,77.5,2.1,1.8,0,9,6.66
Gerard Moreno,Villarreal,Not Available,2229,10,6,0,0,2.5,0.5,0,9,79.5,0.9,9.7,0,9,7.36
Germán Pezzella,Real Betis,Not Available,2770,1,0,7,0,0.7,0.8,0,31,86.0,0.7,2.0,0,1,7.05
Giorgi Mamardashvili,Valencia CF,Not Available,3285,0,0,3,1,,0.1,108,2,46.9,0.1,,13,1,7.01
Giovanni González,Mallorca,Not Available,2463,1,1,7,0,0.5,1.6,0,31,77.2,1.4,0.5,0,1,6.85
Giuliano Simeone,Alavés,Not Available,628,1,2,1,0,,,0,0,,,2.4,0,4,
Goncalo Guedes,Villarreal,Not Available,951,3,2,0,0,,,0,0,,,2.3,0,4,
Gonzalo Escalante,Cádiz,Not Available,1702,1,2,2,1,0.7,1.3,0,26,76.8,1.6,2.1,0,1,6.53
Gonzalo Garcia,Real Madrid,Not Available,17,0,0,0,0,,,0,0,,,0.0,0,0,
Gonzalo Melero,Almería,Not Available,1093,1,1,3,0,1.2,0.7,0,4,82.9,1.7,2.0,0,3,6.39
Gonzalo Villar,Granada CF,Not Available,1785,1,3,7,0,1.1,1.7,0,6,84.0,2.2,1.9,0,3,6.69
Gorka Guruzeta,Athletic Club,Not Available,2240,14,5,2,0,2.6,0.9,0,17,69.3,1.8,11.7,0,5,7.25
Guido Rodríguez,Real Betis,Not Available,1849,2,0,6,0,0.9,1.5,0,29,85.9,1.1,0.7,0,1,7.18
Hamari Traoré,Real Sociedad,Not Available,2296,0,2,7,0,0.7,0.7,0,24,84.6,1.3,0.5,0,1,6.95
Hannibal Mejbri,Sevilla,Not Available,101,0,0,2,0,,,0,0,,,0.0,0,2,
Héctor Bellerín,Real Betis,Not Available,1714,0,1,0,1,0.1,1.2,0,22,79.9,1.1,0.2,0,2,6.62
Houboulang Mendes,Almería,Not Available,396,0,0,0,0,,,0,0,,,0.0,0,0,
Hugo Duro,Valencia CF,Not Available,2994,13,2,4,0,2.0,0.2,0,5,72.3,1.2,11.5,0,3,6.83
Hugo González,Valencia CF,Not Available,79,0,1,0,0,,,0,0,,,0.0,0,1,
Hugo Guillamón,Valencia CF,Not Available,1305,1,0,6,0,0.2,1.0,0,12,82.1,2.5,0.2,0,1,6.59
Hugo Sotelo,Celta de Vigo,Not Available,718,0,1,1,0,,,0,0,,,0.3,0,4,
Hugo Álvarez,Celta de Vigo,Not Available,763,1,1,1,0,,,0,0,,,1.0,0,3,
Héctor Fort,Barcelona,Not Available,320,0,2,0,0,,,0,0,,,0.0,0,1,
Iago Aspas,Celta de Vigo,Not Available,2715,9,10,6,1,2.6,0.2,0,10,78.4,0.6,11.5,0,21,7.3
Ianis Hagi,Alavés,Not Available,798,0,2,3,0,3.0,1.4,0,5,74.2,1.5,2.8,0,4,
Ibrahima Koné,Almería,Not Available,275,0,0,0,0,,,0,0,,,0.4,0,0,
Ibrahima Kébé,Girona,Not Available,7,0,0,1,0,,,0,0,,,,0,0,
Iddrisu Baba,Almería,Not Available,1424,0,0,5,0,0.5,1.6,0,11,83.6,1.8,0.7,0,1,6.62
Ignasi Miquel,Granada CF,Not Available,2991,1,1,5,0,0.7,0.9,0,45,82.0,1.0,1.4,0,2,6.53
Igor Zubeldia,Real Sociedad,Not Available,2523,0,2,11,1,0.4,0.9,0,32,85.0,1.5,0.8,0,1,6.91
Iker Muniain,Athletic Club,Not Available,585,2,0,1,0,2.0,0.2,0,0,88.9,0.8,2.9,0,1,
Iker Muñoz,Osasuna,Not Available,1856,4,0,5,0,1.1,0.9,0,11,76.2,1.8,1.1,0,0,6.96
Ilaix Moriba,Getafe,Not Available,606,0,2,3,1,,,0,0,,,0.3,0,2,
Ilias Akhomach,Villarreal,Not Available,1511,2,2,4,0,1.8,1.3,0,13,80.6,2.4,3.2,0,7,6.69
Ilkay Gündogan,Barcelona,Not Available,2997,5,9,5,0,1.3,0.7,0,21,90.5,0.5,7.3,0,15,7.71
Imanol Garcia de Albeniz,Athletic Club,Not Available,523,0,0,2,0,,,0,0,,,0.0,0,0,
Iñaki Peña,Barcelona,Not Available,900,0,0,0,0,,,0,0,,,,2,0,
Iñaki Williams,Athletic Club,Not Available,2855,12,3,4,0,2.9,0.5,0,14,73.7,1.0,9.4,0,10,7.35
Íñigo Lekue,Athletic Club,Not Available,2001,0,2,4,0,0.2,1.0,0,15,80.4,0.7,0.2,0,2,6.95
Íñigo Martínez,Barcelona,Not Available,1293,0,0,5,0,0.6,0.5,0,11,88.7,0.7,0.4,0,0,
Íñigo Ruíz de Galarreta,Athletic Club,Not Available,2104,1,1,7,0,0.5,1.3,0,12,83.1,2.3,0.3,0,5,6.99
Isaac Carcelén,Cádiz,Not Available,2609,0,0,2,0,0.3,1.1,0,27,74.4,0.6,0.7,0,0,6.73
Isaac Romero,Sevilla,Not Available,1050,4,4,2,0,,,0,0,,,7.3,0,7,
Isco,Real Betis,Not Available,2338,8,5,10,0,2.5,1.0,0,10,86.2,1.2,8.3,0,12,7.66
Isi Palazón,Rayo Vallecano,Not Available,2810,4,1,8,0,2.3,0.8,0,16,74.9,1.0,5.9,0,2,6.84
Ivan Rakitic,Sevilla,Not Available,1425,2,1,6,0,,,0,0,,,1.3,0,3,
Iván Alejo,Cádiz,Not Available,1702,0,2,17,0,0.6,1.2,0,7,64.1,2.6,0.5,0,4,6.4
Iván Balliu,Rayo Vallecano,Not Available,2876,0,1,4,0,0.3,1.0,0,29,77.0,1.3,0.7,0,3,6.75
Iván Martín,Girona,Not Available,2744,5,4,5,0,0.6,0.8,0,21,92.3,0.9,2.9,0,4,7.14
Iván Villar,Celta de Vigo,Not Available,1015,0,0,0,2,,,0,0,,,,0,0,
Jailson Siqueira,Celta de Vigo,Not Available,893,0,1,1,0,,,0,0,,,0.2,0,2,
Jaime Mata,Getafe,Not Available,1790,5,1,8,1,1.6,0.8,0,17,68.9,3.2,5.6,0,2,6.53
Jan Oblak,Atlético de Madrid,Not Available,3420,0,0,1,0,,,102,0,70.9,,,13,0,6.79
Jaume Costa,Mallorca,Not Available,1681,0,1,7,0,0.3,1.2,0,16,77.3,1.3,0.3,0,0,6.59
Javi Galán,Real Sociedad,Not Available,1159,0,1,4,0,0.2,2.0,0,15,81.8,1.7,0.1,0,1,
Javi Llabrés,Mallorca,Not Available,235,1,0,1,0,,,0,0,,,0.7,0,0,
Javi López,Alavés,Not Available,2387,1,3,3,0,0.7,0.5,0,10,72.4,0.9,0.9,0,4,6.89
Javier Guerra,Valencia CF,Not Available,2502,4,1,3,1,1.5,0.9,0,18,74.1,1.4,2.7,0,2,6.66
Javier Hernández,Cádiz,Not Available,2517,1,2,10,0,1.1,0.9,0,19,73.9,1.6,1.5,0,4,6.82
Javier Manquillo,Celta de Vigo,Not Available,746,0,1,3,0,,,0,0,,,0.1,0,1,
Javier Muñoz,Las Palmas,Not Available,2646,2,3,6,0,1.3,0.8,0,20,81.9,1.2,2.5,0,2,6.64
Jeremías Ledesma,Cádiz,Not Available,3049,0,0,0,0,,0.0,105,0,54.2,0.0,,9,0,6.85
Jesús Areso,Osasuna,Not Available,2661,1,6,3,0,0.3,0.8,0,18,80.6,1.0,0.2,0,6,6.84
Jesús Navas,Sevilla,Not Available,2010,0,2,6,1,0.3,1.2,0,22,78.4,0.5,0.1,0,7,6.79
Jesús Owono,Alavés,Not Available,360,0,0,1,0,,,0,0,,,,1,0,
Jesús Santiago,Getafe,Not Available,657,1,0,4,0,,,0,0,,,0.6,0,0,
Jesús Vallejo,Granada CF,Not Available,106,0,0,1,0,,,0,0,,,,0,0,
Jesús Vázquez,Valencia CF,Not Available,705,1,0,1,0,0.9,1.5,0,3,67.0,1.0,1.2,0,0,
Jhon Solis,Girona,Not Available,369,0,0,0,0,,,0,0,,,1.1,0,1,
Joan Jordán,Sevilla,Not Available,378,0,0,1,0,,,0,0,,,0.3,0,0,
